model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
CatBoost,3.1196552021498936,0.04647194339690002,4.015291866740506,0.03827265103416818,0.4128724715701157,0.006457042722070404
HistGBM,3.108258649826939,0.04051491382968221,4.017661698611741,0.03310079925545184,0.41217847490105264,0.005166632252004808
XGBoost,3.1064699915649148,0.04210223375897464,4.025662744820747,0.038586600836001406,0.4098005582296308,0.009165102877170837
LightGBM,3.112208880823639,0.03366683996999362,4.0517863485185615,0.022882433073857664,0.402106909444666,0.007326442243534365
Ridge,3.30967696195191,0.023276997573724225,4.192575631230655,0.02126231350770148,0.3598595128222337,0.0049906585657300395
RandomForest,3.275267680378846,0.043726106638502085,4.3063745066766455,0.06345549817266342,0.3244473304178045,0.021339467163223907
