A,B,X,arch,ETL,HTL,Predicted_PCE,egitim_kayit_sayisi
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.810318860561663,15
MA0.9_Cs0.1,Pb,I,nip,SnO2_np,PTAA,15.801127870059933,51
FA0.85_MA0.15,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.777516452628692,5986
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,pin,SnO2_np,Spiro_MeOTAD,15.766062906375824,10
MA0.9_Cs0.1,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.726031068846826,10
MA,Pb,I,pin,SnO2_np,Spiro_MeOTAD,15.71965749795998,10
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.708218192087354,5986
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.641955769981315,10
MA,Pb,I,nip,SnO2_np,Spiro_MeOTAD,15.63722083462703,916
MA,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.613550128367653,10
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,nip,SnO2_np,Spiro_MeOTAD,15.608964695512316,916
FA0.83_Cs0.17,Pb,I0.83_Br0.17,pin,PCBM_60,PTAA,15.604899968301504,61
Cs0.2_FA0.8,Pb,I0.83_Br0.17,pin,PCBM_60,PTAA,15.582373472336762,61
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,15.536284470203263,916
FA0.83_Cs0.17,Pb,I0.83_Br0.17,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.481091347498364,15
MA0.9_Cs0.1,Pb,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,15.480006195990685,916
FA0.85_MA0.15,Pb,I0.6_Br0.4,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.47876572208964,15
FA0.83_Cs0.17,Pb,I0.6_Br0.4,nip,SnO2_np,PTAA,15.478063236930144,51
FA0.83_Cs0.17,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.439028042989872,5986
Cs0.2_FA0.8,Pb,I0.83_Br0.17,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.419488435019073,15
FA0.83_Cs0.17,Pb,I0.83_Br0.17,nip,PCBM_60,PTAA,15.40590263616581,6
Cs0.2_FA0.8,Pb,I0.6_Br0.4,nip,SnO2_np,PTAA,15.390775603909857,51
FA0.85_MA0.15,Pb0.5_Sn0.5,I,pin,SnO2_np,Spiro_MeOTAD,15.38818069229898,10
FA0.83_Cs0.17,Pb,I,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.376969346348584,5986
Cs0.2_FA0.8,Pb,I,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.373550176601588,5986
Cs0.2_FA0.8,Pb,I0.83_Br0.17,nip,PCBM_60,PTAA,15.366817582723955,6
Cs0.2_FA0.8,Pb,I,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.362436332636277,15
FA0.8_MA0.1_Cs0.1,Pb,I,nip,PCBM_60,Spiro_MeOTAD,15.36135284029394,68
Cs0.2_FA0.8,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.36086657303347,5986
FA0.83_Cs0.17,Pb,I,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.349296944906165,15
FA0.8_MA0.1_Cs0.1,Pb,I0.83_Br0.17,nip,PCBM_60,Spiro_MeOTAD,15.345542296431924,68
FA0.83_Cs0.17,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,PTAA,15.303031248467637,263
Cs0.2_FA0.8,Pb,I,pin,PCBM_60,PTAA,15.293880215325991,61
