feature,mean_abs_shap
A_FA,0.854855108450963
solv_DMF__DMSO,0.6578898994695296
B_Pb,0.4404238269689518
HTL_PEDOT_PSS,0.3657600989711716
HTL_none,0.3217323880069503
anneal_time,0.30797247615916706
A_MA,0.2507732259424657
HTL_Spiro_MeOTAD,0.2496026798661837
solv_DMF,0.21297656045031346
anneal_temp,0.1763756594446885
band_gap,0.16334475471944565
X_Br,0.16196517877139904
HTL_PTAA,0.15640272476314487
solv_DMF____IPA,0.15583181755203787
ETL_TiO2_c___TiO2_mp,0.15310828327682674
ETL_PCBM_60,0.13710212824555074
X_I,0.12518163340137126
solv_GBL,0.1145237237567893
semitransparent,0.09366747148438301
solv_DMF__DMSO____IPA,0.09313851153453848
A_other,0.08223784539446206
anneal_time_missing,0.0757687401499395
ETL_SnO2_np,0.07455061472122146
solv_DMSO__GBL,0.0725270440211749
flexible,0.07000922438832513
HTL_P3HT,0.0674714286918575
arch_pin,0.06740770457585461
A_Cs,0.06282228988682237
ETL_ETL_other,0.05091180521597973
ETL_SnO2_c,0.04805061475886227
HTL_NiO_c,0.0424447266966198
HTL_HTL_other,0.03928479554950048
solv_DMF__GBL,0.038555670370632456
arch_nip,0.03804529909260572
ETL_TiO2_c,0.037768305364560294
solv_solv_other,0.031162309968477818
ETL_PCBM_60___Bphen,0.028902104923704475
solv_DMSO,0.025722615175461466
solv_unknown,0.025273136333812563
band_gap_missing,0.023507172468223907
ETL_C60___BCP,0.02206845541709969
ETL_PCBM_60___C60___BCP,0.021532893467733245
HTL_CuI,0.018497442756663433
B_other,0.015733976648934358
ETL_ZnO_c,0.01561577398154756
ETL_TiO2_c___TiO2_mp___ZrO2_mp,0.0153949773303422
ETL_PCBM_60___BCP,0.014912024180208665
HTL_CuSCN,0.014670121634537708
solv_Unknown,0.01336411099970986
HTL_NiO_mp,0.012851268758236636
solv_none,0.011979671810710755
arch_Back_contacted,0.009470121987763752
anneal_temp_missing,0.00859466154157022
solv_none____none,0.005746606138454709
HTL_NiO_np,0.005663126132099656
B_Sn,0.005363107844576871
ETL_ZnO_np,0.0048662468532010665
ETL_TiO2_c___TiO2_nw,0.004145289820904742
solv_DMSO____IPA,0.003454040069698237
solv_DMF____Methanol,0.0028598566136381234
HTL_P3CT_Na,0.002629678833115562
ETL_PCBM_60___LiF,0.0024881839407868873
solv_DMF____none,0.002007057477105958
HTL_NiO,0.00116321617174447
X_Cl,0.0007311153261705356
ETL_C60,0.0007160153503168065
HTL_CuPc,0.000421556140696548
A_Rb,0.000351044766318531
HTL_NiMgLiO,0.0002662151052924342
X_other,6.920389939113773e-05
A_K,0.0
B_Ge,0.0
arch_Schottky,0.0
arch_Pn_Heterojunction,0.0
arch_Front_contacted,0.0
arch_Unknown,0.0
HTL_PolyTPD,0.0
